,T-1,T-2,T-3,CK-1,CK-2,CK-3,pvalue,log2FC,UPDOWN
BraA09001732,0.005,2.85,0.005,14.8,37.73,14,0.110123978945121,-4.53991798160375,Not sig
BraA09001733,57,69,72,15,17,47,0.0449545268328817,1.32557587190251,Up
BraA09001735,66,77,73,82.5,99,89.5,0.0403398573583536,-0.327261539190403,Not sig
BraA09001736,13,37,27,10,24,10,0.26882665830656,0.807354922057604,Not sig
BraA09001738,104,130,114,485,406,406,0.0041674074728262,-1.89801926840297,Down
BraA09001739,192,229,260,19,19,21,0.00880807298246488,3.52886793865023,Up
BraA09001740,1,2,12,0.005,0.005,0.005,0.290876968451914,9.96578428466209,Not sig
BraA09001742,4,3,3,0.005,1,0.005,0.00310984328982651,3.30757280191029,Up
BraA09001747,1,2,0.005,75,68,69,0.00049376707311943,-6.14055546362674,Down
BraA09001750,238,390,221,157,175,178,0.168360595248389,0.735267306694181,Not sig
BraA09001751,737,1607,730,76,77,56,0.0816454047585478,3.87854231760989,Not sig
BraA09001752,296.76,401,356.3,492,523,590.63,0.0118809312695921,-0.607182486256643,Not sig
BraA09001758,135.24,175,143,74,93,67,0.0109371360154418,0.9537666598032,Not sig
BraA09001761,0.005,0.005,0.005,1,0.005,6,0.335910519952037,-8.86727873970966,Not sig
BraA09001762,53,76.74,60,50,41,62,0.25990211183327,0.310492199360079,Not sig
BraA09001764,4,1.5,0.005,1,4,4,0.491212950703915,-0.709182437652668,Not sig
BraA09001766,0.005,0.005,0.005,4.02,1.48,3,0.0618300901290265,-9.14635653030391,Not sig
BraA09001769,4.9,4.48,4.43,0.005,0.005,2.66,0.0488683003906074,2.3708016725705,Up
BraA09001770,8.1,16.52,14.57,3,1,16.34,0.331259049106635,0.946165893744709,Not sig
BraA09001773,113,166,205,73,83,78,0.0872350258504677,1.04849851769119,Not sig
BraA09001775,61,68,58,111,116,123,0.000330315633133901,-0.904316651944692,Not sig
BraA09001776,63,109,85,148,153,164,0.024408156867478,-0.855462356801515,Not sig
BraA09001777,959,1180,1025,814,920,1308,0.821400273286511,0.0567294467482953,Not sig
BraA09001778,92,132,139,68,80,102,0.109779769510074,0.538041453333664,Not sig
BraA09001780,2,2,0.005,2,2,3,0.273644838680321,-0.805552679423619,Not sig
BraA09001782,120,155,109,245,318,296,0.00586138350783779,-1.16155182041731,Down
BraA09001785,0.33,0.67,2.33,12,4.67,8.67,0.0643275549043968,-2.92782244206955,Not sig
BraA09001786,0.33,0.67,2.33,12,4.67,8.67,0.0643275549043968,-2.92782244206955,Not sig
BraA09001791,51,80,59,24,40,28,0.0429663718664108,1.04629365227393,Up
BraA09001792,17,24,21,45,34,101,0.197390053537063,-1.5376567859428,Not sig
BraA09001794,33,24,33,109,88,131,0.0189557146256398,-1.86569890828841,Down
