,TH-1,TH-2,TH-3,CK-1,CK-2,CK-3,pvalue,log2FC,UPDOWN
XLOC_012006,0.005,0.005,1,1,1,0.005,0.518518518518518,-0.989246943703125,Not sig
XLOC_012086,2,3,1,2,1,2,0.649450178013195,0.263034405833794,Not sig
XLOC_012087,62,26,51,34,70,108,0.384561993362973,-0.608979381839692,Not sig
XLOC_012130,76,67,89,48,90,77,0.712114286378351,0.109788145538112,Not sig
XLOC_012178,98.67,87,7,157.06,68,67,0.469337480554097,-0.600132830928657,Not sig
XLOC_012179,2,0.005,2,1,0.005,1,0.437051762570445,0.99820000595379,Not sig
XLOC_012201,31,18,41,30,63,37,0.339048054502895,-0.53051471669878,Not sig
XLOC_012224,2,9,4,8,6,13,0.24580195172632,-0.84799690655495,Not sig
XLOC_012247,21,12,5,11,16,17,0.718844541831907,-0.211504105193712,Not sig
XLOC_012279,2612.62,2669.48,3194.91,2478.89,2969.4,2066,0.37865450571514,0.173918693805276,Not sig
XLOC_012292,2,1,2,0.005,7,3,0.498047194508633,-1.00072116724365,Not sig
XLOC_012354,603,364,353,481,459,968,0.369413302828054,-0.531523241759696,Not sig
XLOC_012370,1,1,3,0.005,0.005,0.005,0.130246893897356,8.38082178394093,Not sig
XLOC_012372,14.42,38.53,27.22,19,37.47,15,0.782406060585897,0.165724685960889,Not sig
XLOC_012435,9,17.1,16,6.27,6,15,0.274696980511972,0.626505533038495,Not sig
XLOC_012436,2,9,7,1,2,5,0.254253918871362,1.16992500144231,Not sig
XLOC_012563,92,86,148,75,99,166,0.896965816741154,-0.0606627819066241,Not sig
XLOC_012630,49,38,68,37,50,65,0.937226872280481,0.0281968918306519,Not sig
XLOC_012692,1,0.005,8,0.005,0.005,3,0.520937661728268,1.58096278914657,Not sig
XLOC_012694,21,27,18,33,50,12,0.474385144988956,-0.525461488972495,Not sig
XLOC_012695,420,309,438,178,206,322,0.0623355247456216,0.725064472436168,Not sig
XLOC_012697,3,3,13,6,7,2,0.74179587371333,0.341036917835067,Not sig
XLOC_012740,7,7,9,13,5,13,0.424443491229327,-0.430634354329862,Not sig
XLOC_012786,9,7,12,17,12,5,0.636688124728556,-0.280107919192735,Not sig
XLOC_012792,310.93,242,314,231,238,206,0.0971321289984896,0.361028006012706,Not sig
XLOC_012903,50,86,21,162,98,355,0.181169291419693,-1.96982185133498,Not sig
XLOC_012941,9,7,6,6,8,24,0.448630521499157,-0.788495894806288,Not sig
