	TH-1	TH-2	TH-3	T-1	T-2	T-3	pvalue	log2FC	UPDOWN
BraA04001962	154	191	261	33	125	77	0.041009592707278	1.36665703690795	Up
BraA04001963	433	343	490	168	190	181	0.0275719452522437	1.23192022667584	Up
BraA04001964	9	4	12	0.005	1	5	0.0963477263540918	2.05769194384382	Not sig
BraA04001965	58	34	43	142	130	153	0.000565893304848808	-1.65450343397423	Down
BraA04001966	3	0.005	1	0.005	0.005	0.005	0.270069503221121	8.06069593168755	Not sig
BraA04001968	1	5	1	5	4	5	0.217656640011634	-1	Not sig
BraA04001969	381	279	445	696	830	778	0.00348126031315308	-1.06009434716352	Down
BraA04001972	12	12	11	5	3	6	0.00851597104213589	1.32192809488736	Up
BraA04001973	310	275	314	186	211	255	0.0341788561759398	0.46344915128337	Not sig
BraA04001974	522	434	553	265	339	303	0.0138144912204515	0.734418349998161	Not sig
BraA04001977	0.005	0.005	0.005	0.005	2	2	0.183503419072274	-8.06069593168755	Not sig
BraA04001979	331	236	233	263	315	272	0.675180363473473	-0.0874628412503393	Not sig
BraA04001982	33	19	40	26	21	32	0.576962801318584	0.21978120787991	Not sig
BraA04001984	293	233	297	219	260	264	0.356377927231217	0.147530219883029	Not sig
BraA04001985	697	754	932	21	35	14	0.00795115984596247	5.0892802192453	Up
BraA04001987	299	281	270	229	241	295	0.297726000416977	0.15200309344505	Not sig
BraA04001988	190	204	241	164	150	146	0.0487694245846068	0.465122730715153	Not sig
BraA04001990	67	24	40	17	45	14	0.318108512598522	0.785495488093865	Not sig
BraA04001992	0.005	0.005	0.005	9.77	22.77	9.48	0.0855782114762692	-11.4518979459519	Not sig
BraA04001993	175	129	145	153	181	190	0.228513389510122	-0.222851366796303	Not sig
BraA04001994	456	414	527	160	155	182	0.00862197345826121	1.49101426384718	Up
BraA04001995	49	65	26	36	36	27	0.350685168717577	0.499926396865357	Not sig
BraA04001996	1853	1376	1995	759	1050	704	0.0220289589796285	1.05574422566578	Up
BraA04001997	3	4	2	0.005	0.005	0.005	0.0352098855128141	9.22881869049588	Up
BraA04001999	8	2	6	6	1	0.005	0.306607251024177	1.19161494934391	Not sig
BraA04002002	22	19	23	10	13	1	0.0540708627882707	1.41503749927884	Not sig
BraA04002003	252	238	355	95	178	97	0.0296818463128764	1.19142607065323	Up
BraA04002004	54	45	47	66	72	53	0.0984842907526469	-0.387604269155731	Not sig
BraA04002005	18	24	16	38	44	56	0.0227049563734214	-1.2505434616506	Down
BraA04002006	3	1	2.5	2	1	1	0.308914300861674	0.700439718141092	Not sig
BraA04002009	59	56	56	183	228	204	0.00735463477631129	-1.8465900853407	Down
BraA04002012	3	1	2.5	2	1	1	0.308914300861674	0.700439718141092	Not sig
BraA04002013	157	138	93	113	121	93	0.40493978262663	0.246766016689045	Not sig
BraA04002014	65	44	53	6	17	13	0.00852844851097739	2.16992500144231	Up
BraA04002015	163	177	241	121	156	139	0.135686014266147	0.481954635263437	Not sig
BraA04002016	196	176	210	311	326	303	0.00102975401951883	-0.691641603656716	Not sig
BraA04002017	23	7	4	118	167	147	0.00508388841388814	-3.66742466091313	Down
BraA04002020	3	0.005	0.005	5	1	2	0.348924188181226	-1.41023651301502	Not sig
BraA04002021	710	554	689	343	443	368	0.0149877523677784	0.759048725241309	Not sig
BraA04002022	33	27	29	12	17	15	0.00315859294486252	1.0163018123291	Up
BraA04002023	166	66	97	290	419	366	0.0074475069781612	-1.70817717074158	Down
BraA04002024	6	1	1	44	47	44	0.000117321896076907	-4.07681559705083	Down
