	TH-1	TH-2	TH-3	T-1	T-2	T-3	pvalue	log2FC	UPDOWN
BraA04002065	198.3	143	221.31	153.82	199	172	0.667640704807761	0.100312496113232	Not sig
BraA04002066	211	172	247	209	234	216	0.706965936352544	-0.0649266366207728	Not sig
BraA04002067	27	12	17	23	33	32	0.128308564131116	-0.652076696579693	Not sig
BraA04002068	4	8	6	0.005	1	0.005	0.0311717391861724	4.15556970846524	Up
BraA04002069	8	0.005	0.005	44	58	78	0.0221704977321506	-4.49005085369569	Down
BraA04002071	129	76	60	167	213	125	0.0741189893191374	-0.930291028188596	Not sig
BraA04002075	1	2	1	1	2	0.005	0.650393544294151	0.412635009063539	Not sig
BraA04002078	50	18	29	14	11	8	0.146841143432276	1.55551872282867	Not sig
BraA04002081	1	0.005	11	0.005	0.005	0.005	0.372964334676368	9.64445718750926	Not sig
BraA04002085	313.46	259	264.4	402	576	603.51	0.050358080942637	-0.918244481441102	Not sig
BraA04002089	40	28	23	69	127	97	0.0468142081827058	-1.68696221422355	Down
BraA04002090	28	17	21	32	61	34	0.151425502477152	-0.944290567413713	Not sig
BraA04002092	1010	1300	839	11	31	11	0.0163881579844216	5.89275758757221	Up
BraA04002093	1	0.005	0.005	6	6	5	0.000345405269132323	-4.07310754827327	Down
BraA04002094	319	272	308	1766	2427	2905	0.0244224258180608	-2.9810195535465	Down
BraA04002096	104	86	96	45	56	50	0.0036576057016507	0.92146659745331	Not sig
BraA04002097	184	162	147	99	102	86	0.0122311216717221	0.780536909702224	Not sig
BraA04002099	124	78	70	80	139	117	0.425578639874239	-0.304854581528421	Not sig
BraA04002100	1	0.005	2	1	2	1	0.650393544294151	-0.412635009063539	Not sig
BraA04002104	31	19	18	82	76	114	0.0194182669460891	-2	Down
BraA04002105	154	87	87	106	146	109	0.696655158764896	-0.138303022269087	Not sig
BraA04002106	3	12	9	0.005	0.005	0.005	0.094280065505585	10.6438561897747	Not sig
BraA04002108	37	24	20	32	39	39.86	0.182719702241304	-0.452745099627625	Not sig
BraA04002111	86.93	102.87	107	0.005	0.005	0.005	0.00380388431748079	14.272240970787	Up
BraA04002112	75	92	99	39	54	47	0.0119442538382909	0.925999418556223	Not sig
BraA04002113	470	526	529	367	416	388	0.00960970441023466	0.381068166836396	Not sig
BraA04002114	0.005	0.005	0.005	52	29	91	0.0868490204011904	-13.4851584437557	Not sig
BraA04002115	0.005	0.005	2	19	22	30	0.0166665206993371	-5.14255161810048	Down
BraA04002116	0.005	0.005	0.005	3	6	5	0.0339773271221843	-9.86624861111117	Down
BraA04002117	181.63	181.35	285.25	30.39	39.89	55.4	0.0326088228708483	2.36675070419471	Up
BraA04002118	0.005	0.005	0.005	10.93	21.89	20.7	0.0358717026261939	-11.8008998999203	Down
BraA04002119	7.37	11.65	21.75	8.61	5.11	4.6	0.215585240320618	1.1540884533916	Not sig
BraA04002120	0.005	0.005	0.005	33.07	45.11	49.3	0.012855499419516	-13.0530208030567	Down
